"","work_year","job_category","salary_in_usd","experience_level","employment_type","work_setting","company_size","is_Data_Engineer","is_Data_Scientist","is_Data_Analyst","is_Machine_Learning_Engineer","is_Applied_Scientist","is_Research_Scientist","is_Analytics_Engineer","is_Data_Architect","is_residence_US"
"8291",2022,"Data Engineering",129300,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"8292",2022,"Data Science and Research",225000,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"8293",2022,"Data Science and Research",156400,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,1
"8294",2022,"Data Science and Research",200000,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"8295",2022,"Data Science and Research",175000,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"8296",2022,"Data Engineering",185900,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"8297",2022,"Data Engineering",129300,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"8298",2022,"Machine Learning and AI",148500,"Mid-level","Full-time","Remote","L",0,0,0,0,0,0,0,0,1
"8299",2022,"Machine Learning and AI",98200,"Mid-level","Full-time","Remote","L",0,0,0,0,0,0,0,0,1
"8300",2022,"Data Analysis",115000,"Senior","Full-time","Remote","M",0,0,1,0,0,0,0,0,1
"8301",2022,"Data Analysis",95000,"Senior","Full-time","Remote","M",0,0,1,0,0,0,0,0,1
"8302",2022,"Data Architecture and Modeling",225000,"Senior","Full-time","Remote","M",0,0,0,0,0,0,0,1,1
"8303",2022,"Data Architecture and Modeling",66000,"Senior","Full-time","Remote","M",0,0,0,0,0,0,0,1,1
"8304",2022,"Data Science and Research",185000,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"8305",2022,"Data Science and Research",50000,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"8306",2022,"Data Science and Research",47280,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,0
"8307",2022,"Data Science and Research",37824,"Senior","Full-time","In-person","M",0,1,0,0,0,0,0,0,0
"8308",2022,"Leadership and Management",134000,"Mid-level","Full-time","In-person","M",0,0,0,0,0,0,0,0,1
"8309",2022,"Leadership and Management",98000,"Mid-level","Full-time","In-person","M",0,0,0,0,0,0,0,0,1
"8310",2022,"Data Analysis",105000,"Mid-level","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"8311",2022,"Data Analysis",62000,"Mid-level","Full-time","In-person","M",0,0,1,0,0,0,0,0,1
"8312",2022,"Data Analysis",57000,"Entry-level","Full-time","Remote","L",0,0,1,0,0,0,0,0,1
"8313",2022,"Data Engineering",161311,"Senior","Full-time","Hybrid","M",1,0,0,0,0,0,0,0,0
"8314",2022,"Data Science and Research",144200,"Mid-level","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"8315",2022,"Data Science and Research",115360,"Mid-level","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"8316",2022,"Data Science and Research",83171,"Mid-level","Full-time","In-person","L",0,1,0,0,0,0,0,0,0
"8317",2022,"Data Engineering",73546,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,0
"8318",2022,"Data Engineering",42026,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,0
"8319",2022,"Data Engineering",170000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8320",2022,"Data Engineering",150000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8321",2022,"Data Architecture and Modeling",180000,"Senior","Full-time","Remote","M",0,0,0,0,0,0,0,1,1
"8322",2022,"Data Architecture and Modeling",160000,"Senior","Full-time","Remote","M",0,0,0,0,0,0,0,1,1
"8323",2022,"Data Science and Research",108000,"Mid-level","Full-time","Hybrid","L",0,1,0,0,0,0,0,0,1
"8324",2022,"Machine Learning and AI",200000,"Senior","Full-time","Remote","M",0,0,0,0,0,0,0,0,1
"8325",2022,"Machine Learning and AI",150000,"Senior","Full-time","Remote","M",0,0,0,0,0,0,0,0,1
"8326",2022,"Leadership and Management",125976,"Executive","Full-time","Hybrid","L",0,0,0,0,0,0,0,0,0
"8327",2022,"Data Engineering",188700,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8328",2022,"Data Engineering",160395,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8329",2022,"Data Analysis",115934,"Senior","Full-time","Remote","M",0,0,1,0,0,0,0,0,1
"8330",2022,"Data Analysis",81666,"Senior","Full-time","Remote","M",0,0,1,0,0,0,0,0,1
"8331",2022,"Data Engineering",300000,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"8332",2022,"Data Engineering",225000,"Senior","Full-time","In-person","M",1,0,0,0,0,0,0,0,1
"8333",2022,"Data Science and Research",198440,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"8334",2022,"Data Science and Research",144000,"Senior","Full-time","Remote","M",0,1,0,0,0,0,0,0,1
"8335",2022,"Data Science and Research",191475,"Senior","Full-time","Remote","M",0,0,0,0,1,0,0,0,1
"8336",2022,"Data Science and Research",141525,"Senior","Full-time","Remote","M",0,0,0,0,1,0,0,0,1
"8337",2022,"Data Analysis",50432,"Senior","Full-time","In-person","M",0,0,1,0,0,0,0,0,0
"8338",2022,"Data Analysis",36773,"Senior","Full-time","In-person","M",0,0,1,0,0,0,0,0,0
"8339",2022,"Data Science and Research",75648,"Mid-level","Full-time","Remote","S",0,1,0,0,0,0,0,0,0
"8340",2022,"Data Science and Research",156868,"Senior","Full-time","Remote","L",0,1,0,0,0,0,0,0,1
"8341",2022,"BI and Visualization",200000,"Senior","Full-time","Remote","S",0,0,0,0,0,0,0,0,0
"8342",2022,"Data Science and Research",198440,"Senior","Full-time","In-person","L",0,1,0,0,0,0,0,0,1
"8343",2022,"Data Science and Research",144000,"Senior","Full-time","In-person","L",0,1,0,0,0,0,0,0,1
"8344",2022,"Machine Learning and AI",69344,"Senior","Full-time","Remote","L",0,0,0,1,0,0,0,0,0
"8345",2022,"Data Analysis",90000,"Senior","Contract","Remote","M",0,0,1,0,0,0,0,0,1
"8346",2022,"Data Science and Research",126080,"Mid-level","Full-time","In-person","S",0,0,0,0,0,1,0,0,0
"8347",2022,"Data Science and Research",84053,"Mid-level","Full-time","In-person","S",0,0,0,0,0,1,0,0,0
"8348",2022,"Data Engineering",200000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8349",2022,"Data Engineering",180000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8350",2022,"Leadership and Management",108000,"Mid-level","Full-time","Remote","M",0,0,0,0,0,0,1,0,1
"8351",2022,"Leadership and Management",85000,"Mid-level","Full-time","Remote","M",0,0,0,0,0,0,1,0,1
"8352",2022,"Machine Learning and AI",210000,"Senior","Full-time","Remote","M",0,0,0,1,0,0,0,0,1
"8353",2022,"Machine Learning and AI",180000,"Senior","Full-time","Remote","M",0,0,0,1,0,0,0,0,1
"8354",2022,"Data Engineering",165000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8355",2022,"Data Engineering",132000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8356",2022,"Leadership and Management",130000,"Senior","Full-time","Remote","M",0,0,0,0,0,0,1,0,1
"8357",2022,"Leadership and Management",110000,"Senior","Full-time","Remote","M",0,0,0,0,0,0,1,0,1
"8358",2022,"Data Analysis",45050,"Mid-level","Full-time","Hybrid","L",0,0,1,0,0,0,0,0,0
"8359",2021,"Data Analysis",42028,"Entry-level","Full-time","Hybrid","L",0,0,1,0,0,0,0,0,0
"8360",2022,"Leadership and Management",135000,"Mid-level","Full-time","Remote","L",0,0,0,0,0,0,1,0,1
"8361",2022,"Data Engineering",178800,"Senior","Full-time","Remote","L",1,0,0,0,0,0,0,0,1
"8362",2022,"Data Engineering",132100,"Senior","Full-time","Remote","L",1,0,0,0,0,0,0,0,1
"8363",2022,"Data Analysis",20000,"Entry-level","Full-time","Hybrid","M",0,0,1,0,0,0,0,0,0
"8364",2022,"Machine Learning and AI",140000,"Senior","Full-time","In-person","M",0,0,0,1,0,0,0,0,0
"8365",2022,"Machine Learning and AI",110000,"Senior","Full-time","In-person","M",0,0,0,1,0,0,0,0,0
"8366",2022,"Data Engineering",160000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8367",2022,"Data Engineering",85000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8368",2022,"Data Engineering",250000,"Senior","Full-time","Remote","M",0,0,0,0,0,0,0,0,1
"8369",2022,"Data Engineering",63000,"Senior","Full-time","Remote","M",0,0,0,0,0,0,0,0,1
"8370",2022,"Data Engineering",187200,"Executive","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8371",2022,"Data Engineering",116100,"Executive","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8372",2022,"Data Engineering",200000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8373",2022,"Data Engineering",145000,"Senior","Full-time","Remote","M",1,0,0,0,0,0,0,0,1
"8374",2022,"Data Engineering",229998,"Senior","Full-time","In-person","L",1,0,0,0,0,0,0,0,1
"8375",2022,"Data Engineering",154545,"Senior","Full-time","In-person","L",1,0,0,0,0,0,0,0,1
"8376",2022,"Data Science and Research",215000,"Senior","Full-time","In-person","L",0,1,0,0,0,0,0,0,1
"8377",2022,"Data Science and Research",159000,"Senior","Full-time","In-person","L",0,1,0,0,0,0,0,0,1
"8378",2022,"Data Engineering",229998,"Senior","Full-time","In-person","L",1,0,0,0,0,0,0,0,1
"8379",2022,"Data Engineering",154545,"Senior","Full-time","In-person","L",1,0,0,0,0,0,0,0,1
"8380",2022,"Machine Learning and AI",50000,"Entry-level","Full-time","Remote","M",0,0,0,0,0,0,0,0,1
